#time,accel_x,accel_y,accel_z
12711.115098,-267.996131,172.283227,-9915.856854
12711.117648,-478.564520,114.855485,-9915.856854
12711.120197,-191.425808,76.570323,-9915.856854
12711.122746,-248.853550,-57.427742,-9877.571693
12711.125295,-38.285162,-535.992262,-9705.288466
12711.127844,-95.712904,114.855485,-9992.427178
12711.130393,-440.279358,440.279358,-10126.425243
12711.132942,-229.710970,-1014.556782,-9609.575562
12711.135491,38.285162,306.281293,-10202.995566
12711.138040,555.134843,-401.994197,-10011.569758
12711.140589,-306.281293,-2584.248408,-9360.722011
12711.143138,-267.996131,957.129040,-10470.991698
12711.145687,-210.568389,-267.996131,-9801.001370
12711.148236,-1033.699363,-1933.400661,-9092.725880
12711.150785,287.138712,3330.809059,-10834.700733
12711.153334,1607.976787,-842.273555,-9934.999435
12711.155884,-306.281293,344.566454,-9571.290400
12711.158433,-937.986459,574.277424,-9992.427178
12711.160982,-1741.974853,784.845813,-10011.569758
12711.163531,-210.568389,727.418070,-10107.282662
12711.166080,650.847747,-1512.263883,-9513.862658
12711.168629,19.142581,2909.672282,-10662.417506
12711.171178,-1512.263883,-459.421939,-9494.720077
12711.173727,-1282.552914,-1091.127106,-9399.007173
12711.176276,-803.988394,3273.381317,-11006.983960
12711.178825,-210.568389,-1339.980656,-9207.581365
12711.181374,-459.421939,516.849682,-9743.573627
12711.183923,-574.277424,1665.404530,-10547.562021
12711.186472,-803.988394,-1014.556782,-9628.718142
12711.189021,-593.420005,459.421939,-9954.142016
12711.191570,-746.560651,-899.701298,-9418.149754
12711.194119,-555.134843,401.994197,-10049.854920
12711.196669,-0.000000,1569.691626,-10317.851051
12711.199218,-1148.554848,-861.416136,-9456.434915
12711.201767,-669.990328,153.140646,-9915.856854
12711.204316,-1244.267752,1665.404530,-10356.136213
12711.206865,-440.279358,-306.281293,-9437.292334
12711.209414,-210.568389,650.847747,-9839.286531
12711.211963,-267.996131,1014.556782,-10126.425243
12711.214512,-1856.830338,19.142581,-9743.573627
12711.217062,-153.140646,-153.140646,-9934.999435
12711.219613,-421.136778,1186.840010,-10298.708470
12711.222163,210.568389,1435.693560,-10164.710405
12711.224713,-1091.127106,-1990.828403,-9054.440718
12711.227264,-1282.552914,2641.676150,-10470.991698
12711.229814,-1091.127106,-1033.699363,-9513.862658
12711.232364,95.712904,631.705166,-9571.290400
12711.234915,-1761.117434,593.420005,-9973.284597
12711.237465,1493.121302,-382.851616,-9858.429112
12711.240015,-2335.394858,4019.941968,-10700.702667
12711.242565,-478.564520,-10049.854920,-6853.043926
12711.245116,1607.976787,13533.804626,-14471.791085
12711.247666,-1148.554848,-8250.452325,-7484.749093
12711.250216,267.996131,-6546.762634,-7637.889739
12711.252767,-1148.554848,19123.438219,-15811.771741
12711.255317,210.568389,-7886.743290,-8116.454259
12711.257867,-823.130974,-7044.469734,-6948.756830
12711.260418,669.990328,14816.357539,-15180.066574
12711.262968,-382.851616,-11964.113000,-6355.336826
12711.265518,-918.843878,3349.951640,-10241.280728
12711.268069,842.273555,3196.810994,-11772.687192
12711.270619,-153.140646,-4479.363907,-8461.020714
12711.273169,593.420005,1282.552914,-10202.995566
12711.275719,-1148.554848,-191.425808,-10222.138147
12711.278270,-612.562586,1052.841944,-10068.997501
12711.280820,-57.427742,-2928.814862,-8977.870395
12711.283370,421.136778,-1531.406464,-9475.577496
12711.285921,-574.277424,3483.949706,-11045.269122
12711.288471,344.566454,-2603.390989,-9169.296203
12711.291021,-76.570323,497.707101,-9954.142016
12711.293572,-421.136778,1339.980656,-10509.276859
12711.296122,-516.849682,-1282.552914,-9456.434915
12711.298672,172.283227,114.855485,-10011.569758
12711.301223,497.707101,-76.570323,-10107.282662
12711.303773,-229.710970,-880.558717,-9686.145885
12711.306323,-1167.697429,-497.707101,-9858.429112
12711.308874,-593.420005,-210.568389,-10011.569758
12711.311424,114.855485,267.996131,-10068.997501
12711.313974,210.568389,-1148.554848,-9724.431046
12711.316524,-267.996131,1033.699363,-10183.852986
12711.319076,133.998066,114.855485,-10107.282662
12711.321627,-1627.119368,-1665.404530,-9245.866526
12711.324178,172.283227,957.129040,-10202.995566
12711.326729,-421.136778,-114.855485,-9877.571693
12711.329280,1320.838075,-1588.834206,-9437.292334
12711.331831,-1856.830338,1703.689691,-10413.563955
12711.334382,1225.125171,-3598.805190,-9073.583299
12711.336934,-1263.410333,5168.496816,-11351.550414
12711.339485,-1990.828403,-7714.460062,-7197.610381
12711.342036,1148.554848,7618.747158,-12193.823970
12711.344587,-1914.258080,1378.265818,-14548.361408
12711.347138,-2239.681954,-18013.168533,-3771.088418
12711.349689,-1588.834206,12538.390424,-13399.806560
12711.352240,229.710970,2660.818731,-11332.407834
12711.354792,-344.566454,-13055.240106,-4919.643266
12711.357343,1014.556782,15773.486579,-15084.353670
12711.359894,-2220.539373,-8231.309744,-7714.460062
12711.362445,-401.994197,-689.132909,-8824.729749
12711.364996,153.140646,6776.473603,-12519.247843
12711.367547,-1435.693560,-5742.774240,-7867.600709
12711.370098,-1282.552914,2967.100024,-10049.854920
12711.372650,-459.421939,1473.978722,-10604.989763
12711.375201,-995.414202,-803.988394,-9399.007173
12711.377752,-669.990328,-1052.841944,-9188.438784
12711.380303,-153.140646,421.136778,-10049.854920
12711.382854,-1091.127106,2277.967115,-10624.132344
12711.385405,-957.129040,-2890.529701,-8652.446522
12711.387956,-1091.127106,1493.121302,-10260.423309
12711.390508,-114.855485,1971.685822,-10681.560086
12711.393059,-440.279358,-1416.550979,-9226.723946
12711.395610,-421.136778,-76.570323,-9724.431046
12711.398161,-1091.127106,2488.535504,-10566.704602
12711.400712,-1167.697429,-382.851616,-9533.005238
12711.403263,-229.710970,-1167.697429,-9341.579430
12711.405814,-19.142581,3388.236802,-11006.983960
12711.408366,-1244.267752,2163.111630,-10413.563955
12711.410917,-842.273555,-2411.965181,-8901.300072
12711.413468,-287.138712,2239.681954,-10681.560086
12711.416019,-1416.550979,0.000000,-9839.286531
12711.418570,38.285162,-1320.838075,-9303.294269
12711.421105,-1225.125171,3369.094221,-10758.130410
12711.423640,555.134843,-2029.113565,-9284.151688
12711.426175,-1741.974853,2431.107762,-10451.849117
12711.428710,631.705166,-1301.695494,-9590.432981
12711.431245,-1799.402595,3043.670347,-10317.851051
12711.433780,-306.281293,-4766.502619,-8346.165229
12711.436315,1091.127106,6795.616184,-12327.822035
12711.438850,-1875.972918,-3311.666478,-8805.587168
12711.441385,-95.712904,-16481.762069,-4651.647134
12711.443920,880.558717,15122.638832,-14931.213024
12711.446455,-57.427742,-4364.508422,-9073.583299
12711.448990,-191.425808,-9992.427178,-6202.196179
12711.451524,708.275490,16615.760134,-15869.199483
12711.454059,-1244.267752,-13036.097525,-5781.059402
12711.456594,1186.840010,3120.240670,-10375.278794
12711.459129,172.283227,5857.629725,-12595.818166
12711.461664,-937.986459,-8250.452325,-7006.184573
12711.464199,19.142581,4919.643266,-11255.837510
12711.466734,1071.984525,-287.138712,-10490.134278
12711.469269,57.427742,-2201.396792,-8977.870395
12711.471804,306.281293,-650.847747,-9552.147819
12711.474339,-267.996131,842.273555,-10432.706536
12711.476874,-631.705166,765.703232,-10107.282662
12711.479409,287.138712,-2105.683888,-9150.153622
12711.481944,-229.710970,1244.267752,-10432.706536
12711.484479,-153.140646,133.998066,-10126.425243
12711.487014,-612.562586,-535.992262,-9590.432981
12711.489549,-76.570323,-229.710970,-9801.001370
12711.492084,-133.998066,478.564520,-10222.138147
12711.494619,-38.285162,-937.986459,-9667.003304
12711.497153,-363.709035,-746.560651,-9724.431046
12711.499688,-76.570323,1550.549045,-10509.276859
12711.502223,440.279358,-784.845813,-9839.286531
12711.504758,-363.709035,-2182.254211,-9303.294269
12711.507293,-57.427742,2775.674216,-10834.700733
12711.509828,440.279358,-995.414202,-9590.432981
12711.512363,-1378.265818,-1378.265818,-9169.296203
12711.514898,248.853550,1780.260014,-10547.562021
12711.517433,-325.423874,-1071.984525,-9724.431046
12711.519968,861.416136,-497.707101,-9705.288466
12711.522506,-1205.982590,421.136778,-10107.282662
12711.525044,1301.695494,-1569.691626,-9552.147819
12711.527582,-1454.836141,2526.820666,-10624.132344
12711.530120,-440.279358,-7178.467800,-7829.315547
12711.532658,708.275490,11734.402030,-13495.519464
12711.535195,-1339.980656,7944.171032,-12289.536874
12711.537733,-1301.695494,-17036.896912,-3885.943902
12711.540271,-1244.267752,20003.996936,-16213.765938
12711.542809,287.138712,-8173.882002,-7810.172966
12711.545347,-689.132909,-5532.205851,-7216.752962
12711.547885,287.138712,14682.359474,-15007.783347
12711.550423,-2220.539373,-13418.949141,-5685.346498
12711.552961,19.142581,5647.061336,-10796.415571
12711.555499,-153.140646,3503.092286,-11600.403965
12711.558037,-1339.980656,-6489.334891,-7350.751027
12711.560575,-784.845813,6068.198114,-11447.263318
12711.563113,-957.129040,-823.130974,-9877.571693
12711.565651,-899.701298,-1703.689691,-9265.009107
12711.568189,-631.705166,1244.267752,-9915.856854
12711.570726,-57.427742,-459.421939,-9820.143950
12711.573264,-708.275490,1397.408398,-10317.851051
12711.575802,-593.420005,-1684.547110,-9207.581365
