freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.650e+01,3.727e+01,5.398e+02,5.935e+02
1.6,2.579e+01,7.349e+01,3.241e+02,4.234e+02
3.1,2.041e+01,7.241e+01,3.320e+01,1.260e+02
4.7,2.078e+01,5.421e+01,3.722e+02,4.472e+02
6.2,2.197e+01,5.632e+01,1.252e+03,1.330e+03
7.8,2.202e+01,6.711e+01,2.071e+03,2.161e+03
9.3,2.717e+01,5.962e+01,3.063e+03,3.150e+03
10.9,2.877e+01,6.536e+01,4.255e+03,4.349e+03
12.5,2.437e+01,6.320e+01,5.720e+03,5.808e+03
14.0,2.611e+01,6.647e+01,7.521e+03,7.614e+03
15.6,3.090e+01,6.611e+01,8.901e+03,8.998e+03
17.1,3.349e+01,6.160e+01,9.767e+03,9.862e+03
18.7,3.247e+01,5.626e+01,1.167e+04,1.175e+04
20.2,3.601e+01,6.323e+01,1.439e+04,1.449e+04
21.8,4.067e+01,5.993e+01,1.757e+04,1.767e+04
23.4,4.917e+01,5.980e+01,2.133e+04,2.144e+04
24.9,5.508e+01,6.462e+01,2.551e+04,2.563e+04
26.5,6.286e+01,7.567e+01,3.028e+04,3.042e+04
28.0,7.564e+01,8.321e+01,3.566e+04,3.582e+04
29.6,8.402e+01,9.004e+01,4.235e+04,4.252e+04
31.1,9.767e+01,9.687e+01,5.046e+04,5.066e+04
32.7,1.285e+02,1.147e+02,6.022e+04,6.046e+04
34.3,1.641e+02,1.379e+02,7.083e+04,7.113e+04
35.8,2.180e+02,1.784e+02,8.373e+04,8.413e+04
37.4,2.802e+02,2.280e+02,9.994e+04,1.005e+05
38.9,3.877e+02,3.135e+02,1.193e+05,1.200e+05
40.5,5.671e+02,4.011e+02,1.436e+05,1.446e+05
42.0,8.427e+02,5.391e+02,1.753e+05,1.767e+05
43.6,1.196e+03,7.365e+02,2.193e+05,2.213e+05
45.2,1.598e+03,9.920e+02,2.793e+05,2.819e+05
46.7,2.206e+03,1.234e+03,3.687e+05,3.721e+05
48.3,3.474e+03,1.715e+03,5.038e+05,5.090e+05
49.8,5.485e+03,2.405e+03,7.219e+05,7.298e+05
51.4,7.556e+03,3.655e+03,9.509e+05,9.621e+05
52.9,1.205e+04,1.104e+04,1.151e+06,1.174e+06
54.5,1.471e+04,2.073e+04,1.449e+06,1.485e+06
56.1,1.445e+04,2.687e+04,1.894e+06,1.936e+06
57.6,1.129e+04,2.939e+04,2.096e+06,2.136e+06
59.2,1.063e+04,2.711e+04,1.640e+06,1.678e+06
60.7,1.442e+04,2.286e+04,1.170e+06,1.207e+06
62.3,1.858e+04,1.511e+04,8.500e+05,8.837e+05
63.8,2.181e+04,1.183e+04,7.008e+05,7.345e+05
65.4,2.029e+04,1.131e+04,7.040e+05,7.356e+05
66.9,1.522e+04,8.934e+03,6.417e+05,6.658e+05
68.5,1.065e+04,6.880e+03,4.946e+05,5.121e+05
70.1,7.844e+03,6.193e+03,3.711e+05,3.852e+05
71.6,5.992e+03,5.623e+03,2.690e+05,2.806e+05
73.2,4.647e+03,4.910e+03,2.053e+05,2.149e+05
74.7,3.014e+03,4.160e+03,1.641e+05,1.713e+05
76.3,1.784e+03,4.172e+03,1.344e+05,1.404e+05
77.8,1.558e+03,4.418e+03,1.038e+05,1.098e+05
79.4,1.521e+03,4.410e+03,8.177e+04,8.770e+04
81.0,1.611e+03,4.412e+03,7.054e+04,7.656e+04
82.5,1.414e+03,3.978e+03,6.324e+04,6.864e+04
84.1,1.048e+03,3.597e+03,5.915e+04,6.379e+04
85.6,1.078e+03,4.454e+03,5.337e+04,5.890e+04
87.2,1.869e+03,6.549e+03,4.825e+04,5.667e+04
88.7,2.467e+03,6.222e+03,4.642e+04,5.511e+04
90.3,3.047e+03,5.706e+03,4.283e+04,5.159e+04
