freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.984e+01,3.127e+02,1.578e+01,3.883e+02
1.6,4.196e+01,1.829e+02,2.299e+01,2.478e+02
3.1,9.418e+00,2.349e+01,2.052e+01,5.343e+01
4.7,1.035e+01,3.609e+02,2.124e+01,3.925e+02
6.2,1.167e+01,1.294e+03,2.024e+01,1.325e+03
7.8,1.185e+01,2.186e+03,1.981e+01,2.218e+03
9.3,1.171e+01,3.226e+03,1.853e+01,3.256e+03
10.9,1.242e+01,4.854e+03,2.419e+01,4.890e+03
12.4,1.570e+01,7.237e+03,5.875e+01,7.311e+03
14.0,1.998e+01,9.701e+03,1.326e+02,9.854e+03
15.5,2.263e+01,1.143e+04,1.588e+02,1.161e+04
17.1,2.333e+01,1.256e+04,1.065e+02,1.269e+04
18.7,2.279e+01,1.589e+04,5.762e+01,1.597e+04
20.2,3.414e+01,2.148e+04,4.894e+01,2.156e+04
21.8,1.250e+02,2.741e+04,8.133e+01,2.762e+04
23.3,2.714e+02,3.128e+04,9.552e+01,3.164e+04
24.9,2.709e+02,3.606e+04,5.063e+01,3.638e+04
26.4,2.241e+02,4.688e+04,3.005e+01,4.714e+04
28.0,2.536e+02,6.440e+04,3.088e+01,6.468e+04
29.5,4.285e+02,9.035e+04,3.683e+01,9.082e+04
31.1,8.709e+02,1.243e+05,3.574e+01,1.252e+05
32.6,1.631e+03,1.657e+05,3.371e+01,1.673e+05
34.2,2.699e+03,2.207e+05,4.783e+01,2.235e+05
35.8,4.269e+03,2.905e+05,1.963e+02,2.949e+05
37.3,6.658e+03,3.616e+05,7.348e+02,3.690e+05
38.9,9.604e+03,4.146e+05,1.056e+03,4.253e+05
40.4,1.599e+04,4.646e+05,5.038e+02,4.811e+05
42.0,2.426e+04,4.315e+05,3.874e+02,4.561e+05
43.5,3.037e+04,3.320e+05,4.838e+02,3.629e+05
45.1,2.698e+04,2.258e+05,6.593e+02,2.534e+05
46.6,2.540e+04,1.524e+05,8.402e+02,1.787e+05
48.2,3.081e+04,1.020e+05,8.975e+02,1.337e+05
