freq,psd_x,psd_y,psd_z,psd_xyz,zv(61.0),mzv(62.6),ei(74.8),2hump_ei(93.2),3hump_ei(112.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.993,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.986,0.984,0.982,0.979
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.977,0.974,0.969,0.966
6.2,2.051e+02,4.846e+00,1.118e+01,2.211e+02,0.974,0.965,0.961,0.954,0.950
7.7,2.715e+02,3.847e+00,8.000e+00,2.834e+02,0.964,0.952,0.946,0.938,0.932
9.3,3.320e+02,3.045e+00,6.759e+00,3.418e+02,0.952,0.937,0.929,0.919,0.912
10.8,3.978e+02,2.723e+00,5.488e+00,4.060e+02,0.939,0.920,0.911,0.899,0.891
12.4,4.700e+02,2.346e+00,4.977e+00,4.773e+02,0.925,0.902,0.891,0.877,0.867
13.9,5.562e+02,2.112e+00,4.797e+00,5.631e+02,0.909,0.882,0.869,0.853,0.842
15.5,6.062e+02,2.060e+00,4.632e+00,6.129e+02,0.892,0.861,0.846,0.828,0.815
17.0,6.030e+02,1.734e+00,4.337e+00,6.091e+02,0.873,0.838,0.821,0.801,0.787
18.6,6.622e+02,1.570e+00,4.061e+00,6.679e+02,0.853,0.814,0.795,0.773,0.758
20.1,7.596e+02,1.680e+00,3.558e+00,7.648e+02,0.832,0.789,0.768,0.744,0.728
21.7,8.792e+02,1.969e+00,3.598e+00,8.848e+02,0.810,0.763,0.740,0.715,0.697
23.2,1.018e+03,1.973e+00,3.663e+00,1.024e+03,0.787,0.736,0.710,0.684,0.665
24.8,1.172e+03,2.011e+00,3.184e+00,1.178e+03,0.763,0.708,0.680,0.652,0.633
26.3,1.325e+03,2.313e+00,3.318e+00,1.330e+03,0.737,0.678,0.650,0.621,0.600
27.8,1.454e+03,2.351e+00,3.790e+00,1.460e+03,0.711,0.649,0.618,0.588,0.567
29.4,1.639e+03,2.290e+00,3.707e+00,1.645e+03,0.684,0.618,0.586,0.556,0.534
30.9,1.857e+03,2.445e+00,4.511e+00,1.864e+03,0.655,0.587,0.554,0.523,0.501
32.5,2.112e+03,2.939e+00,5.014e+00,2.120e+03,0.626,0.556,0.522,0.490,0.468
34.0,2.394e+03,3.956e+00,4.641e+00,2.403e+03,0.596,0.524,0.489,0.458,0.436
35.6,2.733e+03,5.414e+00,4.698e+00,2.743e+03,0.566,0.492,0.457,0.426,0.404
37.1,3.152e+03,8.488e+00,4.112e+00,3.164e+03,0.534,0.460,0.425,0.394,0.373
38.7,3.627e+03,1.250e+01,3.820e+00,3.643e+03,0.502,0.428,0.393,0.363,0.342
40.2,4.148e+03,1.647e+01,4.743e+00,4.169e+03,0.470,0.396,0.362,0.333,0.312
41.8,4.755e+03,2.009e+01,6.484e+00,4.781e+03,0.437,0.365,0.331,0.303,0.283
43.3,5.513e+03,2.690e+01,7.729e+00,5.548e+03,0.403,0.333,0.300,0.274,0.256
44.9,6.505e+03,3.798e+01,9.947e+00,6.553e+03,0.369,0.302,0.271,0.247,0.229
46.4,7.724e+03,4.772e+01,1.545e+01,7.788e+03,0.335,0.271,0.242,0.220,0.204
48.0,9.350e+03,5.796e+01,2.152e+01,9.429e+03,0.300,0.241,0.215,0.195,0.180
49.5,1.171e+04,7.873e+01,2.913e+01,1.182e+04,0.265,0.212,0.188,0.171,0.158
51.1,1.509e+04,1.057e+02,3.567e+01,1.523e+04,0.230,0.184,0.163,0.148,0.137
52.6,2.013e+04,1.486e+02,3.303e+01,2.031e+04,0.195,0.156,0.139,0.127,0.118
54.1,2.784e+04,2.293e+02,2.759e+01,2.810e+04,0.160,0.129,0.117,0.108,0.100
55.7,3.850e+04,3.952e+02,7.426e+01,3.897e+04,0.126,0.104,0.096,0.090,0.084
57.2,5.763e+04,5.770e+02,1.939e+02,5.840e+04,0.098,0.080,0.076,0.073,0.071
58.8,8.503e+04,7.292e+02,3.543e+02,8.612e+04,0.076,0.058,0.059,0.059,0.059
60.3,1.010e+05,8.153e+02,4.748e+02,1.023e+05,0.063,0.044,0.043,0.047,0.050
61.9,9.171e+04,7.596e+02,5.173e+02,9.298e+04,0.065,0.036,0.031,0.037,0.043
63.4,7.139e+04,5.446e+02,4.980e+02,7.243e+04,0.079,0.035,0.022,0.031,0.039
65.0,5.044e+04,3.360e+02,4.356e+02,5.121e+04,0.101,0.041,0.020,0.028,0.037
66.5,3.481e+04,2.056e+02,3.200e+02,3.534e+04,0.129,0.050,0.023,0.028,0.037
68.1,2.540e+04,1.539e+02,1.946e+02,2.575e+04,0.162,0.064,0.028,0.030,0.038
69.6,1.828e+04,1.255e+02,1.182e+02,1.852e+04,0.194,0.078,0.033,0.032,0.039
71.2,1.274e+04,1.017e+02,8.112e+01,1.293e+04,0.227,0.090,0.037,0.035,0.039
72.7,9.077e+03,9.783e+01,6.664e+01,9.241e+03,0.259,0.101,0.039,0.037,0.040
74.3,7.182e+03,1.339e+02,6.187e+01,7.377e+03,0.290,0.110,0.040,0.038,0.040
75.8,6.347e+03,2.016e+02,6.493e+01,6.614e+03,0.321,0.118,0.039,0.038,0.039
77.4,5.829e+03,2.026e+02,4.780e+01,6.080e+03,0.351,0.124,0.037,0.038,0.038
78.9,5.237e+03,1.540e+02,5.542e+01,5.447e+03,0.380,0.129,0.033,0.037,0.036
80.4,4.613e+03,1.128e+02,1.122e+02,4.838e+03,0.409,0.132,0.031,0.035,0.034
82.0,3.856e+03,9.871e+01,1.561e+02,4.111e+03,0.437,0.133,0.029,0.032,0.032
83.5,3.398e+03,1.047e+02,1.735e+02,3.676e+03,0.464,0.133,0.028,0.029,0.029
85.1,3.655e+03,1.166e+02,1.754e+02,3.947e+03,0.490,0.132,0.029,0.026,0.025
86.6,3.470e+03,1.051e+02,1.419e+02,3.717e+03,0.515,0.128,0.032,0.022,0.022
88.2,2.803e+03,7.252e+01,1.092e+02,2.984e+03,0.539,0.124,0.037,0.017,0.019
89.7,2.419e+03,5.578e+01,1.313e+02,2.606e+03,0.563,0.118,0.045,0.013,0.016
91.3,2.539e+03,6.265e+01,1.866e+02,2.788e+03,0.585,0.110,0.054,0.012,0.013
92.8,2.621e+03,8.087e+01,2.463e+02,2.949e+03,0.606,0.102,0.070,0.011,0.012
94.4,2.725e+03,9.915e+01,2.597e+02,3.084e+03,0.626,0.096,0.088,0.011,0.012
95.9,3.670e+03,1.869e+02,2.141e+02,4.071e+03,0.645,0.091,0.106,0.012,0.013
97.5,4.578e+03,2.467e+02,1.698e+02,4.994e+03,0.663,0.087,0.125,0.015,0.015
