freq,psd_x,psd_y,psd_z,psd_xyz,zv(47.2),mzv(42.2),ei(50.8),2hump_ei(63.4),3hump_ei(76.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.991,0.990,0.988,0.986
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.978,0.975,0.971,0.968
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.976,0.961,0.957,0.951,0.946
6.0,2.599e+01,3.569e+01,2.358e+02,2.975e+02,0.964,0.941,0.935,0.926,0.919
7.4,1.989e+01,2.578e+01,3.057e+02,3.514e+02,0.949,0.918,0.909,0.897,0.888
8.9,1.796e+01,2.030e+01,3.681e+02,4.064e+02,0.932,0.891,0.880,0.865,0.854
10.4,1.773e+01,1.738e+01,4.481e+02,4.832e+02,0.913,0.861,0.847,0.830,0.817
11.9,1.613e+01,1.791e+01,5.291e+02,5.631e+02,0.892,0.828,0.812,0.792,0.778
13.4,1.563e+01,2.043e+01,6.574e+02,6.934e+02,0.869,0.793,0.774,0.752,0.736
14.9,1.593e+01,2.029e+01,8.370e+02,8.732e+02,0.844,0.755,0.734,0.710,0.692
16.4,1.490e+01,1.803e+01,9.343e+02,9.672e+02,0.817,0.716,0.693,0.666,0.646
17.9,1.492e+01,1.627e+01,9.291e+02,9.603e+02,0.789,0.674,0.649,0.621,0.600
19.4,1.419e+01,1.466e+01,9.934e+02,1.022e+03,0.758,0.631,0.605,0.575,0.553
20.9,1.133e+01,1.332e+01,1.145e+03,1.170e+03,0.726,0.587,0.559,0.529,0.506
22.3,1.013e+01,1.208e+01,1.223e+03,1.245e+03,0.693,0.543,0.513,0.483,0.460
23.8,1.004e+01,1.174e+01,1.109e+03,1.131e+03,0.658,0.497,0.467,0.437,0.414
25.3,1.057e+01,1.015e+01,1.140e+03,1.161e+03,0.622,0.451,0.422,0.392,0.369
26.8,1.125e+01,9.159e+00,1.376e+03,1.396e+03,0.584,0.406,0.377,0.348,0.326
28.3,1.081e+01,8.041e+00,1.715e+03,1.733e+03,0.545,0.360,0.333,0.306,0.285
29.8,8.973e+00,7.477e+00,2.234e+03,2.251e+03,0.506,0.315,0.290,0.266,0.246
31.3,7.059e+00,6.181e+00,2.906e+03,2.919e+03,0.465,0.271,0.249,0.228,0.209
32.8,6.724e+00,5.895e+00,3.817e+03,3.829e+03,0.424,0.229,0.210,0.192,0.176
34.3,8.607e+00,8.102e+00,5.151e+03,5.168e+03,0.382,0.188,0.173,0.158,0.145
