freq,psd_x,psd_y,psd_z,psd_xyz,zv(64.8),mzv(66.8),ei(79.8),2hump_ei(99.4),3hump_ei(118.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.2,4.287e+00,5.981e+00,1.895e+02,1.997e+02,0.976,0.968,0.964,0.958,0.953
7.8,3.672e+00,5.031e+00,2.507e+02,2.594e+02,0.967,0.956,0.950,0.943,0.937
9.3,2.955e+00,4.332e+00,3.038e+02,3.111e+02,0.956,0.942,0.935,0.926,0.918
10.9,2.599e+00,3.470e+00,3.516e+02,3.577e+02,0.944,0.927,0.918,0.907,0.898
12.5,2.423e+00,3.126e+00,4.056e+02,4.111e+02,0.931,0.910,0.900,0.887,0.876
14.0,1.991e+00,2.685e+00,4.567e+02,4.614e+02,0.916,0.892,0.880,0.865,0.853
15.6,1.636e+00,2.427e+00,4.783e+02,4.823e+02,0.901,0.873,0.859,0.842,0.828
17.1,1.551e+00,1.946e+00,4.983e+02,5.018e+02,0.884,0.852,0.836,0.818,0.803
18.7,1.534e+00,1.818e+00,5.472e+02,5.505e+02,0.866,0.831,0.813,0.792,0.776
20.3,1.535e+00,1.962e+00,6.057e+02,6.092e+02,0.847,0.808,0.788,0.765,0.747
21.8,1.518e+00,1.989e+00,6.661e+02,6.696e+02,0.827,0.784,0.762,0.738,0.718
23.4,1.500e+00,1.935e+00,7.211e+02,7.245e+02,0.805,0.759,0.735,0.710,0.689
24.9,1.592e+00,1.900e+00,7.806e+02,7.840e+02,0.783,0.733,0.707,0.680,0.658
26.5,1.677e+00,2.043e+00,8.504e+02,8.541e+02,0.760,0.706,0.679,0.651,0.628
28.0,1.846e+00,2.255e+00,9.274e+02,9.315e+02,0.736,0.679,0.650,0.621,0.596
29.6,1.912e+00,2.500e+00,9.581e+02,9.625e+02,0.711,0.651,0.620,0.590,0.565
31.2,2.019e+00,2.972e+00,1.019e+03,1.024e+03,0.685,0.622,0.590,0.559,0.533
32.7,1.750e+00,2.940e+00,1.137e+03,1.141e+03,0.658,0.593,0.560,0.528,0.502
34.3,1.479e+00,3.213e+00,1.295e+03,1.300e+03,0.630,0.563,0.529,0.498,0.471
35.8,1.789e+00,4.689e+00,1.464e+03,1.470e+03,0.602,0.534,0.499,0.467,0.440
37.4,2.375e+00,6.323e+00,1.627e+03,1.636e+03,0.573,0.503,0.468,0.437,0.409
39.0,3.304e+00,7.083e+00,1.807e+03,1.818e+03,0.544,0.473,0.438,0.406,0.379
40.5,4.362e+00,7.945e+00,2.034e+03,2.046e+03,0.513,0.443,0.407,0.377,0.350
42.1,5.439e+00,9.911e+00,2.312e+03,2.328e+03,0.483,0.413,0.378,0.348,0.321
43.6,6.256e+00,1.308e+01,2.682e+03,2.701e+03,0.452,0.383,0.348,0.320,0.294
45.2,6.432e+00,1.710e+01,3.162e+03,3.185e+03,0.420,0.353,0.319,0.292,0.267
46.7,8.138e+00,2.300e+01,3.756e+03,3.787e+03,0.388,0.323,0.291,0.265,0.241
48.3,1.423e+01,3.029e+01,4.373e+03,4.418e+03,0.355,0.294,0.263,0.239,0.217
49.9,2.485e+01,3.907e+01,5.019e+03,5.083e+03,0.323,0.265,0.236,0.215,0.193
51.4,6.119e+01,5.715e+01,5.915e+03,6.033e+03,0.290,0.237,0.211,0.191,0.171
53.0,1.624e+02,9.811e+01,7.443e+03,7.703e+03,0.257,0.209,0.186,0.168,0.150
54.5,3.232e+02,1.525e+02,9.569e+03,1.004e+04,0.224,0.183,0.162,0.147,0.131
56.1,4.549e+02,2.132e+02,1.185e+04,1.252e+04,0.191,0.157,0.139,0.127,0.113
57.7,5.100e+02,2.859e+02,1.615e+04,1.694e+04,0.158,0.131,0.118,0.109,0.097
59.2,4.460e+02,4.312e+02,2.394e+04,2.482e+04,0.125,0.107,0.098,0.091,0.082
60.8,4.709e+02,8.785e+02,3.631e+04,3.766e+04,0.099,0.084,0.080,0.076,0.069
62.3,7.302e+02,1.817e+03,5.341e+04,5.595e+04,0.078,0.062,0.063,0.062,0.059
63.9,1.409e+03,3.385e+03,6.575e+04,7.054e+04,0.064,0.048,0.048,0.050,0.050
65.4,1.545e+03,3.694e+03,6.172e+04,6.696e+04,0.063,0.038,0.035,0.040,0.043
67.0,8.839e+02,2.325e+03,4.980e+04,5.300e+04,0.075,0.034,0.025,0.033,0.039
68.6,3.899e+02,1.192e+03,3.609e+04,3.768e+04,0.094,0.038,0.020,0.029,0.037
70.1,2.155e+02,7.155e+02,2.367e+04,2.460e+04,0.118,0.045,0.021,0.027,0.037
71.7,1.350e+02,4.850e+02,1.555e+04,1.617e+04,0.149,0.056,0.025,0.029,0.037
73.2,8.787e+01,3.404e+02,1.058e+04,1.101e+04,0.180,0.069,0.030,0.031,0.038
74.8,5.585e+01,2.607e+02,7.378e+03,7.694e+03,0.211,0.082,0.034,0.033,0.039
76.4,3.496e+01,2.116e+02,5.055e+03,5.302e+03,0.241,0.093,0.037,0.035,0.040
77.9,2.826e+01,1.854e+02,3.343e+03,3.556e+03,0.271,0.103,0.039,0.037,0.040
79.5,2.553e+01,1.586e+02,2.231e+03,2.415e+03,0.301,0.111,0.040,0.038,0.040
81.0,3.567e+01,1.752e+02,1.650e+03,1.861e+03,0.330,0.118,0.039,0.038,0.039
82.6,7.572e+01,2.579e+02,1.373e+03,1.707e+03,0.358,0.124,0.037,0.038,0.037
84.1,9.976e+01,2.814e+02,1.148e+03,1.529e+03,0.386,0.129,0.033,0.037,0.036
85.7,9.699e+01,2.545e+02,9.370e+02,1.289e+03,0.413,0.132,0.031,0.035,0.033
87.3,9.395e+01,2.295e+02,6.987e+02,1.022e+03,0.440,0.133,0.029,0.033,0.031
88.8,7.116e+01,1.484e+02,5.202e+02,7.398e+02,0.465,0.133,0.028,0.030,0.028
90.4,4.361e+01,7.081e+01,4.151e+02,5.295e+02,0.490,0.132,0.028,0.026,0.025
91.9,2.276e+01,3.679e+01,3.391e+02,3.987e+02,0.514,0.130,0.031,0.023,0.021
93.5,1.026e+01,5.294e+01,2.703e+02,3.335e+02,0.537,0.126,0.035,0.019,0.018
95.1,8.366e+00,1.077e+02,2.105e+02,3.266e+02,0.559,0.121,0.042,0.015,0.015
96.6,1.197e+01,2.047e+02,1.885e+02,4.051e+02,0.580,0.114,0.050,0.012,0.013
98.2,1.774e+01,3.841e+02,2.137e+02,6.156e+02,0.600,0.106,0.062,0.011,0.012
99.7,2.224e+01,7.386e+02,3.273e+02,1.088e+03,0.620,0.099,0.077,0.011,0.012
101.3,3.033e+01,1.159e+03,5.046e+02,1.694e+03,0.638,0.094,0.094,0.011,0.013
102.8,4.777e+01,1.394e+03,6.623e+02,2.104e+03,0.655,0.090,0.112,0.013,0.015
104.4,6.739e+01,1.368e+03,6.667e+02,2.102e+03,0.672,0.086,0.130,0.016,0.017
106.0,1.040e+02,1.280e+03,6.567e+02,2.041e+03,0.687,0.083,0.149,0.019,0.020
107.5,1.575e+02,1.291e+03,6.566e+02,2.105e+03,0.701,0.081,0.168,0.023,0.022
109.1,2.204e+02,1.268e+03,6.042e+02,2.093e+03,0.714,0.080,0.188,0.026,0.024
110.6,2.599e+02,1.246e+03,5.104e+02,2.017e+03,0.726,0.081,0.208,0.028,0.026
112.2,2.670e+02,1.229e+03,3.918e+02,1.888e+03,0.737,0.084,0.228,0.030,0.028
113.8,2.697e+02,1.167e+03,2.918e+02,1.728e+03,0.747,0.089,0.249,0.031,0.029
115.3,2.843e+02,1.097e+03,2.336e+02,1.615e+03,0.755,0.095,0.270,0.032,0.030
116.9,3.060e+02,1.014e+03,1.897e+02,1.510e+03,0.763,0.103,0.291,0.032,0.030
118.4,3.302e+02,9.050e+02,1.553e+02,1.391e+03,0.769,0.112,0.312,0.031,0.030
120.0,3.403e+02,7.875e+02,1.334e+02,1.261e+03,0.774,0.123,0.332,0.029,0.030
121.5,3.426e+02,7.514e+02,1.220e+02,1.216e+03,0.779,0.134,0.353,0.027,0.029
123.1,3.443e+02,7.413e+02,1.106e+02,1.196e+03,0.782,0.151,0.373,0.027,0.027
124.7,3.392e+02,7.284e+02,9.993e+01,1.168e+03,0.783,0.172,0.393,0.027,0.026
126.2,3.459e+02,6.823e+02,9.599e+01,1.124e+03,0.784,0.193,0.412,0.027,0.024
