freq,psd_x,psd_y,psd_z,psd_xyz,zv(63.6),mzv(43.0),ei(54.6),2hump_ei(67.8),3hump_ei(81.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.991,0.990,0.988,0.987
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.977,0.976,0.972,0.969
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.960,0.959,0.952,0.947
6.2,2.061e+00,1.951e+02,3.736e+00,2.009e+02,0.975,0.939,0.937,0.928,0.921
7.8,1.759e+00,2.634e+02,2.999e+00,2.681e+02,0.966,0.914,0.913,0.900,0.891
9.4,1.562e+00,3.216e+02,2.288e+00,3.255e+02,0.955,0.886,0.885,0.869,0.858
10.9,1.377e+00,3.917e+02,1.889e+00,3.950e+02,0.942,0.855,0.854,0.835,0.822
12.5,1.304e+00,4.812e+02,1.742e+00,4.843e+02,0.929,0.821,0.820,0.799,0.783
14.0,1.159e+00,6.054e+02,1.655e+00,6.082e+02,0.914,0.784,0.783,0.760,0.742
15.6,1.009e+00,7.199e+02,1.827e+00,7.227e+02,0.897,0.745,0.745,0.719,0.699
17.2,1.189e+00,7.685e+02,2.566e+00,7.723e+02,0.880,0.703,0.705,0.676,0.655
18.7,1.414e+00,7.744e+02,2.852e+00,7.787e+02,0.861,0.660,0.663,0.632,0.610
20.3,1.473e+00,8.126e+02,2.923e+00,8.170e+02,0.842,0.616,0.620,0.588,0.564
21.8,1.685e+00,9.258e+02,2.840e+00,9.303e+02,0.821,0.570,0.576,0.543,0.518
23.4,2.228e+00,1.068e+03,2.689e+00,1.073e+03,0.799,0.524,0.531,0.497,0.472
25.0,2.504e+00,1.167e+03,2.814e+00,1.172e+03,0.776,0.477,0.486,0.452,0.427
26.5,2.286e+00,1.343e+03,2.999e+00,1.349e+03,0.752,0.430,0.442,0.408,0.382
28.1,3.413e+00,1.583e+03,3.634e+00,1.590e+03,0.727,0.383,0.397,0.365,0.340
29.6,4.716e+00,1.715e+03,5.651e+00,1.725e+03,0.701,0.337,0.354,0.323,0.299
31.2,4.796e+00,1.893e+03,6.532e+00,1.904e+03,0.674,0.291,0.312,0.283,0.259
32.8,7.467e+00,2.223e+03,6.872e+00,2.238e+03,0.647,0.247,0.271,0.244,0.223
34.3,1.654e+01,2.674e+03,7.302e+00,2.698e+03,0.618,0.204,0.232,0.208,0.188
35.9,4.022e+01,3.293e+03,7.140e+00,3.340e+03,0.589,0.163,0.194,0.174,0.157
37.4,8.380e+01,4.194e+03,6.420e+00,4.284e+03,0.559,0.124,0.160,0.143,0.128
39.0,1.819e+02,5.597e+03,5.896e+00,5.785e+03,0.529,0.087,0.127,0.114,0.103
40.6,4.987e+02,7.979e+03,1.041e+01,8.488e+03,0.498,0.056,0.097,0.089,0.081
42.1,1.353e+03,1.223e+04,2.632e+01,1.361e+04,0.466,0.038,0.071,0.067,0.063
43.7,2.566e+03,1.614e+04,4.516e+01,1.875e+04,0.434,0.036,0.048,0.049,0.050
45.2,2.774e+03,1.426e+04,3.678e+01,1.707e+04,0.402,0.046,0.030,0.036,0.041
46.8,2.879e+03,1.110e+04,2.352e+01,1.401e+04,0.369,0.065,0.020,0.029,0.037
48.4,2.845e+03,7.305e+03,1.235e+01,1.016e+04,0.335,0.084,0.022,0.028,0.037
49.9,2.941e+03,3.863e+03,5.190e+00,6.809e+03,0.302,0.101,0.029,0.031,0.038
51.5,3.453e+03,1.827e+03,3.844e+00,5.283e+03,0.268,0.114,0.035,0.034,0.039
53.0,3.814e+03,9.007e+02,3.367e+00,4.718e+03,0.235,0.124,0.039,0.037,0.040
54.6,3.945e+03,7.342e+02,4.796e+00,4.684e+03,0.201,0.130,0.040,0.038,0.039
56.1,3.694e+03,1.020e+03,8.650e+00,4.722e+03,0.167,0.133,0.037,0.038,0.038
57.7,3.566e+03,1.577e+03,1.263e+01,5.156e+03,0.134,0.133,0.032,0.036,0.035
59.3,3.567e+03,2.433e+03,1.697e+01,6.018e+03,0.104,0.129,0.030,0.033,0.032
60.8,3.570e+03,3.598e+03,4.478e+01,7.213e+03,0.082,0.123,0.028,0.029,0.027
62.4,3.597e+03,4.959e+03,1.368e+02,8.693e+03,0.066,0.113,0.029,0.024,0.023
