freq,psd_x,psd_y,psd_z,psd_xyz,zv(64.6),mzv(66.4),ei(79.4),2hump_ei(98.8),3hump_ei(118.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.994,0.994,0.992,0.991
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.991,0.987,0.985,0.983,0.981
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.978,0.975,0.971,0.968
6.2,9.970e+00,4.346e+00,1.835e+02,1.979e+02,0.976,0.967,0.963,0.957,0.953
7.8,1.082e+01,4.255e+00,2.444e+02,2.595e+02,0.966,0.955,0.950,0.942,0.937
9.4,8.255e+00,3.616e+00,2.906e+02,3.024e+02,0.956,0.941,0.934,0.925,0.918
10.9,8.182e+00,3.275e+00,3.512e+02,3.626e+02,0.944,0.926,0.917,0.906,0.898
12.5,7.530e+00,2.838e+00,4.182e+02,4.286e+02,0.930,0.909,0.899,0.886,0.876
14.0,6.772e+00,2.786e+00,4.699e+02,4.794e+02,0.916,0.891,0.879,0.864,0.853
15.6,5.985e+00,2.450e+00,4.810e+02,4.894e+02,0.900,0.872,0.858,0.840,0.828
17.2,5.469e+00,2.391e+00,5.006e+02,5.084e+02,0.883,0.851,0.835,0.816,0.802
18.7,5.155e+00,2.255e+00,5.596e+02,5.671e+02,0.865,0.829,0.811,0.790,0.775
20.3,4.669e+00,2.164e+00,6.448e+02,6.517e+02,0.846,0.806,0.786,0.763,0.747
21.8,4.767e+00,2.177e+00,7.358e+02,7.427e+02,0.825,0.781,0.760,0.735,0.718
23.4,4.820e+00,2.425e+00,8.179e+02,8.252e+02,0.804,0.756,0.733,0.707,0.688
25.0,5.249e+00,2.500e+00,9.143e+02,9.220e+02,0.782,0.730,0.705,0.677,0.658
26.5,5.382e+00,2.477e+00,1.025e+03,1.032e+03,0.758,0.703,0.676,0.647,0.627
28.1,6.372e+00,2.897e+00,1.120e+03,1.129e+03,0.734,0.675,0.647,0.617,0.596
29.6,6.708e+00,2.989e+00,1.162e+03,1.171e+03,0.709,0.647,0.617,0.586,0.564
31.2,6.676e+00,3.591e+00,1.231e+03,1.241e+03,0.683,0.618,0.587,0.555,0.533
32.7,6.922e+00,4.644e+00,1.367e+03,1.378e+03,0.656,0.589,0.556,0.524,0.502
34.3,8.290e+00,6.365e+00,1.534e+03,1.549e+03,0.628,0.559,0.525,0.493,0.470
35.9,9.476e+00,8.513e+00,1.717e+03,1.735e+03,0.600,0.529,0.495,0.462,0.439
37.4,1.117e+01,1.012e+01,1.889e+03,1.910e+03,0.570,0.499,0.464,0.432,0.409
39.0,1.404e+01,1.174e+01,2.085e+03,2.111e+03,0.541,0.468,0.433,0.401,0.379
40.5,1.669e+01,1.331e+01,2.305e+03,2.335e+03,0.510,0.438,0.403,0.372,0.349
42.1,2.043e+01,1.652e+01,2.582e+03,2.619e+03,0.480,0.407,0.373,0.343,0.321
43.7,2.549e+01,2.040e+01,2.938e+03,2.983e+03,0.448,0.377,0.343,0.314,0.293
45.2,3.120e+01,2.592e+01,3.403e+03,3.460e+03,0.416,0.347,0.314,0.287,0.266
46.8,3.691e+01,3.384e+01,4.019e+03,4.090e+03,0.384,0.317,0.286,0.260,0.241
48.3,5.014e+01,4.060e+01,4.648e+03,4.739e+03,0.352,0.288,0.258,0.234,0.216
49.9,7.128e+01,4.798e+01,5.280e+03,5.399e+03,0.319,0.259,0.232,0.209,0.193
51.5,1.010e+02,5.919e+01,6.216e+03,6.376e+03,0.286,0.231,0.206,0.186,0.171
53.0,1.944e+02,9.471e+01,7.593e+03,7.882e+03,0.252,0.203,0.181,0.163,0.150
54.6,3.753e+02,1.698e+02,9.256e+03,9.801e+03,0.219,0.176,0.157,0.142,0.130
56.1,5.537e+02,2.467e+02,1.164e+04,1.244e+04,0.186,0.150,0.135,0.123,0.113
57.7,5.091e+02,2.989e+02,1.598e+04,1.679e+04,0.153,0.125,0.114,0.104,0.096
59.3,3.664e+02,3.596e+02,2.253e+04,2.326e+04,0.120,0.101,0.094,0.087,0.082
60.8,2.718e+02,5.606e+02,3.557e+04,3.640e+04,0.095,0.078,0.076,0.072,0.069
62.4,2.515e+02,1.053e+03,5.765e+04,5.896e+04,0.075,0.058,0.059,0.058,0.058
63.9,3.404e+02,1.358e+03,6.786e+04,6.956e+04,0.063,0.045,0.044,0.047,0.050
65.5,4.105e+02,1.365e+03,6.126e+04,6.304e+04,0.065,0.036,0.032,0.038,0.043
67.1,4.230e+02,1.302e+03,4.797e+04,4.969e+04,0.078,0.035,0.023,0.031,0.039
68.6,3.151e+02,9.995e+02,3.276e+04,3.408e+04,0.098,0.040,0.020,0.028,0.037
70.2,2.032e+02,6.855e+02,2.034e+04,2.123e+04,0.123,0.048,0.022,0.028,0.037
71.7,1.529e+02,5.021e+02,1.290e+04,1.356e+04,0.154,0.060,0.026,0.029,0.037
73.3,1.221e+02,3.705e+02,8.277e+03,8.769e+03,0.186,0.074,0.031,0.032,0.038
74.9,9.806e+01,2.793e+02,5.401e+03,5.778e+03,0.217,0.086,0.035,0.034,0.039
76.4,7.862e+01,2.216e+02,3.622e+03,3.922e+03,0.247,0.096,0.038,0.036,0.040
78.0,5.144e+01,1.623e+02,2.396e+03,2.609e+03,0.277,0.106,0.040,0.038,0.040
79.5,2.864e+01,1.223e+02,1.608e+03,1.759e+03,0.307,0.114,0.040,0.038,0.040
81.1,2.233e+01,1.020e+02,1.113e+03,1.238e+03,0.336,0.121,0.038,0.038,0.039
82.7,1.472e+01,8.224e+01,7.974e+02,8.944e+02,0.364,0.126,0.036,0.038,0.037
84.2,2.003e+01,9.731e+01,6.363e+02,7.536e+02,0.392,0.130,0.032,0.036,0.036
85.8,2.858e+01,1.168e+02,5.259e+02,6.713e+02,0.419,0.132,0.030,0.034,0.033
87.3,4.158e+01,1.461e+02,4.285e+02,6.162e+02,0.445,0.133,0.029,0.032,0.031
88.9,5.565e+01,1.661e+02,3.433e+02,5.651e+02,0.471,0.133,0.028,0.028,0.028
90.4,5.686e+01,1.478e+02,2.765e+02,4.811e+02,0.495,0.131,0.029,0.025,0.025
92.0,3.848e+01,8.479e+01,2.200e+02,3.433e+02,0.519,0.128,0.032,0.021,0.021
93.6,2.082e+01,4.581e+01,1.815e+02,2.481e+02,0.542,0.124,0.037,0.017,0.018
95.1,1.100e+01,5.599e+01,1.571e+02,2.241e+02,0.564,0.118,0.044,0.013,0.015
96.7,1.062e+01,1.106e+02,1.584e+02,2.796e+02,0.585,0.111,0.053,0.012,0.013
98.2,1.405e+01,2.172e+02,1.825e+02,4.137e+02,0.605,0.103,0.067,0.011,0.012
99.8,1.734e+01,3.939e+02,2.185e+02,6.297e+02,0.624,0.097,0.084,0.011,0.012
101.4,3.010e+01,6.722e+02,2.698e+02,9.720e+02,0.643,0.092,0.101,0.012,0.013
102.9,6.126e+01,1.014e+03,3.212e+02,1.397e+03,0.660,0.088,0.118,0.014,0.015
104.5,1.088e+02,1.169e+03,3.171e+02,1.595e+03,0.676,0.085,0.137,0.018,0.017
106.0,1.810e+02,1.163e+03,2.847e+02,1.629e+03,0.691,0.082,0.156,0.021,0.020
107.6,2.395e+02,1.127e+03,2.483e+02,1.615e+03,0.705,0.081,0.176,0.024,0.022
109.2,2.706e+02,9.736e+02,1.991e+02,1.443e+03,0.717,0.081,0.196,0.027,0.024
110.7,2.771e+02,9.451e+02,1.533e+02,1.376e+03,0.729,0.082,0.216,0.029,0.026
112.3,2.565e+02,9.276e+02,1.197e+02,1.304e+03,0.740,0.086,0.237,0.031,0.028
113.8,2.336e+02,9.009e+02,1.028e+02,1.237e+03,0.749,0.092,0.258,0.032,0.029
115.4,2.327e+02,9.052e+02,9.753e+01,1.235e+03,0.758,0.099,0.279,0.032,0.030
117.0,2.415e+02,9.039e+02,1.007e+02,1.246e+03,0.765,0.108,0.300,0.031,0.030
118.5,2.515e+02,9.047e+02,1.107e+02,1.267e+03,0.771,0.118,0.321,0.030,0.030
120.1,2.546e+02,8.591e+02,1.241e+02,1.238e+03,0.776,0.129,0.341,0.028,0.029
121.6,2.563e+02,8.121e+02,1.374e+02,1.206e+03,0.780,0.141,0.362,0.027,0.029
123.2,2.617e+02,7.593e+02,1.550e+02,1.176e+03,0.782,0.162,0.382,0.027,0.027
124.8,2.722e+02,6.763e+02,1.841e+02,1.132e+03,0.784,0.183,0.402,0.027,0.026
126.3,2.780e+02,5.937e+02,2.159e+02,1.088e+03,0.784,0.204,0.421,0.027,0.024
