freq,psd_x,psd_y,psd_z,psd_xyz,zv(63.6),mzv(43.8),ei(54.8),2hump_ei(67.8),3hump_ei(81.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.991,0.990,0.988,0.987
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.978,0.976,0.972,0.969
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.961,0.959,0.952,0.947
6.2,3.149e+00,1.967e+02,3.728e+00,2.036e+02,0.975,0.941,0.938,0.928,0.921
7.8,2.864e+00,2.657e+02,2.820e+00,2.714e+02,0.966,0.917,0.913,0.900,0.891
9.4,2.602e+00,3.208e+02,2.499e+00,3.259e+02,0.955,0.889,0.885,0.870,0.858
10.9,2.420e+00,3.871e+02,2.288e+00,3.918e+02,0.942,0.859,0.855,0.836,0.822
12.5,2.140e+00,4.730e+02,2.084e+00,4.772e+02,0.929,0.826,0.821,0.799,0.784
14.0,1.867e+00,5.967e+02,2.216e+00,6.008e+02,0.914,0.790,0.785,0.760,0.743
15.6,1.859e+00,7.231e+02,2.434e+00,7.274e+02,0.898,0.752,0.747,0.719,0.700
17.1,1.666e+00,7.647e+02,2.582e+00,7.690e+02,0.880,0.712,0.707,0.677,0.655
18.7,1.462e+00,7.599e+02,2.794e+00,7.641e+02,0.862,0.670,0.665,0.633,0.610
20.3,1.480e+00,8.009e+02,2.750e+00,8.052e+02,0.842,0.627,0.622,0.588,0.564
21.8,1.628e+00,9.219e+02,2.679e+00,9.263e+02,0.821,0.582,0.578,0.543,0.518
23.4,1.867e+00,1.058e+03,2.745e+00,1.062e+03,0.799,0.537,0.534,0.498,0.472
24.9,2.428e+00,1.159e+03,2.719e+00,1.164e+03,0.776,0.491,0.489,0.453,0.427
26.5,3.445e+00,1.326e+03,2.670e+00,1.332e+03,0.752,0.445,0.445,0.409,0.383
28.1,4.295e+00,1.544e+03,3.146e+00,1.551e+03,0.727,0.399,0.401,0.365,0.340
29.6,4.845e+00,1.682e+03,5.310e+00,1.692e+03,0.701,0.353,0.358,0.323,0.299
31.2,4.909e+00,1.869e+03,6.142e+00,1.880e+03,0.675,0.308,0.315,0.283,0.260
32.7,9.133e+00,2.205e+03,6.006e+00,2.220e+03,0.647,0.264,0.275,0.245,0.223
34.3,1.977e+01,2.685e+03,6.541e+00,2.711e+03,0.619,0.222,0.235,0.208,0.189
35.8,4.244e+01,3.294e+03,6.856e+00,3.343e+03,0.590,0.180,0.198,0.175,0.157
37.4,8.091e+01,4.132e+03,6.091e+00,4.219e+03,0.560,0.141,0.163,0.143,0.129
39.0,1.618e+02,5.478e+03,5.496e+00,5.645e+03,0.529,0.104,0.131,0.115,0.103
40.5,4.271e+02,7.909e+03,9.952e+00,8.346e+03,0.498,0.070,0.101,0.089,0.082
42.1,1.254e+03,1.298e+04,2.563e+01,1.426e+04,0.467,0.046,0.074,0.067,0.064
43.6,2.580e+03,1.852e+04,4.230e+01,2.114e+04,0.435,0.035,0.051,0.049,0.050
45.2,2.953e+03,1.753e+04,3.252e+01,2.052e+04,0.402,0.039,0.032,0.036,0.041
46.8,3.300e+03,1.481e+04,2.008e+01,1.813e+04,0.369,0.053,0.021,0.029,0.037
48.3,3.399e+03,9.694e+03,1.492e+01,1.311e+04,0.336,0.073,0.021,0.028,0.037
49.9,3.595e+03,4.709e+03,8.450e+00,8.313e+03,0.303,0.091,0.028,0.031,0.038
51.4,4.092e+03,2.082e+03,4.397e+00,6.178e+03,0.269,0.106,0.034,0.034,0.039
53.0,4.385e+03,1.004e+03,3.074e+00,5.392e+03,0.235,0.118,0.039,0.037,0.040
54.5,4.554e+03,7.767e+02,7.484e+00,5.338e+03,0.202,0.126,0.040,0.038,0.040
56.1,4.452e+03,1.073e+03,1.864e+01,5.544e+03,0.168,0.131,0.038,0.038,0.038
57.7,4.576e+03,1.947e+03,2.967e+01,6.553e+03,0.134,0.133,0.033,0.036,0.035
59.2,5.552e+03,4.188e+03,4.254e+01,9.782e+03,0.105,0.132,0.030,0.033,0.032
60.8,6.518e+03,7.549e+03,4.703e+01,1.411e+04,0.082,0.128,0.028,0.029,0.028
62.3,5.770e+03,9.204e+03,4.002e+01,1.501e+04,0.066,0.120,0.029,0.024,0.023
